Kaizen_title,background,baseline,issue
PIM - Improve Quality dan Productivity Toy GWV01 Lamp Retainer,"output tidak tercapai 
REject bending ",SCH 5100 actual 4371,output tidak tercapai karena part bending 
PIM - Improve Quality & Productivity Toy GWV01Lamp Retainer,SCH tidak pernah tercpai karena part over reject ,"SCH 5100/hari actual 4371
Reject bending 1,000,000 PPM ",Output tidak tercpai karena part bending 
RC- Improve 5S di mesin URS,NULL,NULL,NULL
RC - Improve 5S di mesin URS,Ditemukan finding 5S  Fisrt shot Sample belum di update di mesin URS,3 dari 7 mesin tidak di update,score 5S rendah karena ketemu finding first shot sample tidak di update
PA - Improvement quality Toy HLW67 olaf,Broken neck,385/1400,"Issue broken neck 385/1400
nest terlalu tajam di bagian neck,Issue under print  eyebrow 100/100"
FA - New line HPJ97 ,New Line ,CT tdk balance di beberapa proses ,"Bau  gosong di area AB 1-ada potensi fire ,Proses tidak balance di proses lock insert dan waisstrap shoes -Proses lock insert dan isolatep 3sisi 
CT 29 TT 27
Proses waisstrap shoes dengan 2 operator CT  masing 48 ,Proses tidak balance di proses creacing insert dan tag mic -Proses creacing dan isolatep insert , selot body CT 30
Prroses tag microtek costum to blister CT 25,Proses tidak balance di proses tag head dan waisstrap arm -Proses join head ,tag head ,dan waisstrap haed CT 30
Proses waisstrap arm to blister CT 25,Proses tidak balance di proses date code torso dan handdsew pant-Proses date code torso, pasang pant , waitrap to body dan touch up position armn CT 29
Proses handdsew pant dengan 2 orang CT masing ""50 "
FA - PP Kaizen Toy  HJX39,PP Kaizen untuk memastikan PS dapat berjalan lancar,Excessmotion dan potensi missing part," Issue imp hair dan tembakan lepas after strap body, -Head ke tarik saat strap body.,Issue kesulitan proses tag head dan tembakan sering mental.-Coakan bidang blister terlalu dalam dan menggunakan Pin head 9mm,Issue come off sandals  saat handling on conveyor, 3/10.300.000 ppm.-Proses attach sandals di lakukan melewati 2 proses sebelum lock eva strap sandals to insert.,Excess motion saat tie down arm using eva strap .-banyak  menyingkap dan  touch up karena terhalang shawl .,issue potensi  come off stick saat lock upper insert.-Stick bergeser dengan methode lock bottom insert, lock upper insert, attach & tape certificate to insert"
PO - Kaizen Rump Up Sch di toy HBY10,Rump up sch di toy HBY10 dari 1000 ke 1300,Ada beberapa proses yg CT nya tinggi,"Ct tdk balance di proses join dan psg belt - * proses join head + psg waist strap+ isolatif waist strap ct 24
*proses psg belt+ psg vest ct 16,Ct tinggi di proses psg shoes - Proses psg pants + psg shoes dgn 2 opt ct 54 dan49,Ct tdk balance di proses psg stick dan psg holder arm - * proses psg holder arm+ r/b holder ct17
* proses psg stick +psg holder kaki dgn 2 0pt ct 44 dan 43,Ct tdk balance di proses slot blister acc dan proses psg doll bass - * proses slot blister acc to insert + isolatif blister ct 23
* proses psg certificate dan doll bass to insert ct17"
URS - Reduce Plate Holder Down Time Frequency,Plate holder is often error,Five times error in one month,Down time due to Plate holder error often occurs
PO - Kaizen Ramp Up Schedule Toy HBV34,Rump up sch,"CT tidak balance di beberapa proses, penumpukan,Plan jam 1, 282 actual 250 eff 88% Jam 2,424 actual 400 eff 94% Jam 3,424 actual 424 eff 100%","Tidak balance di proses date code IC, creasing, attack 1/2"" rubberband for bracelet, attack 1/2"" rubberband for head band, dengan proses take head band to insert - CT proses date code IC, creasing, attack 1/2""rubberband for bracelet and head band CT nya 11"", proses take head band to insert CT nya 6"",Penumpukan di proses put top dress from bin, Microteck top dress 3x, menunggu di proses Microteck pants 3x to insert - CT put top dress from bin, Microteck top dress 3x CT nya 10""
Microteck pants 3x CT nya 8"",Tidak balance di proses open zipper bag, attack j hook to Zipper bag,dengan proses take Zipper bag, clouse Zipper bag, take anti tamper, assy CDU, put Zipper bag to CDU sebanyak 8pc - Open zipper bag, attack j hook to Zipper bag CT nya 6""
Proses take Zipper bag, clouse Zipper bag, take anti tamper, assy CDU, put Zipper bag to CDU CT nya 13"""
Menghilangkan Riject Scratch Toy 11021-67241 Todler GHR67,LBO in Process menemukan isu scratch,LBO in Process scratch,NULL
Menghilangkan Kontaminasi Toy 11013-13194 Painted Head Tampo FCP73,LBO in Process menemukan issu kontaminasi,LBO in Process 40/240,NULL
PO new line,New line,CT tidak balance di beberapa proses ,"Proses tdk balance di proses date code ic dan pasang acc - Proses date code ic dan pasang 2pc dan  Teag head CT : 19
Proses pasang RB 1pc dan pasang acc dogy CT : 15
,Proses tdk balance di proses join dan pasang shoes  - -proses pinwaist dan pinleg dan join head CT : 18
- proses pasang shoes CT 14,Proses tdk balance di proses date code torso dan pasang gesper - Proses date code torso dan pasang costum CT : 19
Proses pasang gesper CT 14
,Proses tdk balance di proses Reggrom dan pasang acc  - Proses Reggrom dan pasang sticker CT ; 19
Proses pasang acc lagugage CT 15"
PO - Kaizen New line Toy HCB78,New line,"CT tdk balance di beberapa proses
","CT tdk balance di prose cleaning dan proses cutting hair - *proses buka tule +buka topeng + cleaning + trimming ct  :25 TT :17
*proses cutting hair dgn 3 opt ct : 34,33,dan40 TT:17,Ct tdk balance di proses join head dan proses psg holder  - *proses join head ct : 10 TT:17
*proses psg holder to blister +slot holder blister+ lock holder blister ct: 19 TT:17,Ct tdk balance di proses psg holder arm dan proses slot body blister - *proses psg holder arm + slot holder arm ct : 10 TT:17
*proses creasing insert+ creasing body blister+slot body blister ct:19 TT: 17,Ct tdk balance di proses TTI dan proses doll to MC - *proses TTI  CT:10 TT 17
*proses date code ic + jhonson+ doll to ic CT:19TT: 17"
CR - Kaizen 555 safety dan quality improvment,Ada potensi safety dan potensi reject loose hair yarn,Tatakan mc longgar / bergeser di mc 23 dan simplat kasar di mc 35,"Simplat kasar di mc 35 - Simplat tidak rata,Mc no 23 ganjelan longgar/ bergeser - Lantai tidak rata ,Mc 28 magnet cuc tidak berfungsi maksimal - Magnet sudah aus sehingga daya tarik magnet lemah,Mc 32 sensor benang gulung mati, sehingga tidak berfungsi  - Baut sensor dol/aus,Mc 23 saat sensor benang satu di nyalakan mc akan mati sendiri - Sensor benang 1 tdk berfungsi karena dudukan sensor terlalu k bawah"
PO - Rump up SCH dari 2300-2400 HGM53,Rump up Sch dari 2300 - 2400,2300,"CT tdk balance diproses R/B insert dan Tag head  - - R/B 1/2 ' 2pc, R/B 1pc CT 13'
- Tag head CT 9',CT tdk balance diproses pinwaisth, pin leg, pin arm (2) join dan rapihin rambut  - -joind, pinwaist, pin leg, pin arm (2) CT 15'
- Rapihin rambut, Full back 2 opt masing masing CT 16'
-,CT tdk balance diproses Tag dress dan tag skirt, Tag pants  - - Tag dress CT 13
- Tag skirt, Tag pants CT 14,CT tdk balance diproses gluing dengan 2 opt dan assy corner, Stamp datecode MC doll to master, siller master to pallet. - -gluing Ct 15'masing masing opt 
-assy corner, Stamp datecode MC, Doll to master,  siller MC to palle5 CT 26',Ketemu LBO uncomplate Shoes - -Penempatan matrial tdk Standard, 
-opt kurang tekun saat assy acc
-Blister bending
-opt slot blister to insert tdk menghitung part 
- opt TTI tdk menghitung dengan menunjuk quantity pc tetapi berpasangan"
PO - Balancing line B09 toy HGM62,New line,CT tidak balance di beberapa proses,"Tidak balance di proses rapihin rambut  Ct 19 TT 11 - -date code ic, psg rubber band 2pc dan taghead
-proses rapihin rambut 2opt Ct 19,Tidak balance di proses assy acc dan slot acc to insert - -assy acc 4pc dngn 3opt ct 22
-pasang/slot acc to insert 1opt ct 17,Tidak balance di proses packing dan pasang acc to insert - -packing dngn 2opt ct 11
-pasang acc lemari pasang waistrap pasang pet holder to insert dngn 3opt ct 46
"
PO - Kaizen New line Toy : GXF09,New line,"CT tidak balance di beberapa proses ( dressing,necklace,ACC,TTI ).","CT tidak balance di date code torso dengan dressing. - - Date code torso + pasang F.Top +attack necklice # 1,# 2,#3 + attack rubberband kecil ke necklice CT = 25 s.
- attack rubberband 1'' ke necklice + pasang jakket + attack pet arm kanan.1'' ke tangan kanan lalu ikat dengan rubberband kecil CT = 18 s.,CT tidak balance di proses slot body dengan pin strapless leg. - - date code IC + slot body blister inner ke insert + attack purse dan pet arm 1.5'' ke tangan kiri diikat rubberband kecil dan slot ke insert CT = 24 s.
- tekuk kaki kanan lalu pin strapless leg 3 kali CT = 17 s.,CT tidak balance diproses TTI dengan press blister. - - Buka polybag head + TTI + join blister inner dengan insert locking ic 8 kali CT = 28 s.
- locking ic 4 kali + taruh doll ke nest + proses glue hotmelt ke insert lalu press + Funtion press lalu TTI CT = 18 s."
FA - New line Toy HJT03 ,Newline,"Sch : 2000
Jam kerja : 8
Operator : 17
Standar hourse : 86052
Eff : 125%
TT : 14","CT tidak balance di proses ikat tas dan proses pasang shoes, r/band shoes to leg-> Proses ikat tas 
CT : 10 detik
> Proses oasang shoes + ikat r/band shoes 
CT : 17 detik,CT tidak balance di proses lock ic bawah dan isolatif ic dan prpses lock ic atas , isolatif , pasang clear label-> Proses lock ic bawah dan isolatif 
CT : 12 detik
> Proses lock ic atas , isolatif dan paang clear label CT : 17 detik,Di temukan come off shoes di proses oacking 3/210 ( 16.666 ppm )-Saat operator melkukan proses r/band shoes 2x silang posisi r/ band terlalu di taruk ke atas sehingga posisi r/band kendor,CY tidak balance di proses nembak kepala dan proses packing ,rekease polibag, lock ic dan isolatif
-> Proses nembak kepala 
CT : 8 detik
> Proses packing, release polibag dan isolatif dengan menggunakan 2 operator 
CT : 30 detik
CT : 32 detik"
PO - Ramp Up Schedule Toy GXT41,Ramp up sch dari 2300 ke 2400,"CT Tinggi dibeberapa proses , balancing line ","Penumpukkan diproses rapihin rambut  - -opt join head , rapihin rambut ,pasang Shoes ct 14 
- 1 opt R/B car horn to car window 
   CT 6"",CT opt insert tinggi  - - 1opt creasing insert , celotape insert, put stiker to polibag celotape attach sticher to insert ct 11 ""
- 1 opt Attach to torso to insert CT 9"",CT opt loocking ic tinggi  - -1 opt date ic ,loocking ic  Ct 13 ""
- 2 opt seal insert opt ct 17"",Quality : ketemu baldspot diarea TTI 5/360 : 13,888 ppm  - partline disisip dibelakang "
PO - KAIZEN NEW LINE DI TOY GML73,New line,"Scdl = 1000
Jk = 8
Hrs = 105,953
Oprt = 12","Ditemukan 1600ppm unseal blister - Posisi menara lebih tinggi dari insert karena terganjel blister acc cup,CT tidak balance di proses date code torso dan regroom. - - proses date code torso + attach skirt + attach waistrap + attach shoes + join head CT 40s.
- proses regroom CT 15s.,CT tidak balance di proses assy owl Brown dan assy owl White. - - proses assy owl Brown CT 10s.
- proses assy owl White + slot blister owl Brown + slit blister owl White CT 40s.,CT tidak balance di proses assy dogy White dan slot blister dogy to insert. - - proses assy dogy White to blister + assy dogy Brown to blister CT 40s.
- proses slot blister dogy White dan slot blister dogy Brown menggunakan 2 operator CT 35s.,CT tidak balance di proses spot welding dan slot body to insert. - - proses spot welding + buka polybag + TTI CT 30s.
- slot body to insert CT 20s."
Injection molding machine sparepart mapping using CMMS,downtime on machine due to no database on sparepart and no sparepart mapping,no sparepart mapping ,downtime machine due to no sparepart mapping
Check ring & End Cap molding no stock at Tool crib,"Belum ada vendor pengganti specialist Molding Parts. 
,Stock tidak sesuai untuk end cap IS 55 d 28mm.
","Belum dapat vendor pengganti IM-10661 Check ring IS 80 /130 d 45mm durasi : >2 bulan & IM-10914 Enda Cap IS 55 d 28mm durasi:>3 bulan.
","Belum dapat vendor pengganti IM-10661 Check ring IS 80 /130 d 45mm durasi : >2 bulan & IM-10914 Enda Cap IS 55 d 28mm durasi:>3 bulan.
,Stock salah untuk end cap IS 55 d 28mm.
"
SP - Reduce Reject Hairy Toy GXH55-6A19 Upper Torso,LBO internal issue hairy,Temuan LBO internal 2X dalam 1 bulan ,"Temuan LBO internal terkait issue reject hairy 
Root Couse : Cat kasar, sudah di adjust dengan adictive masih hairy ,Adanya penumpukan di proses inspect/packing 
Root Cause : Operator cleaning part 100% dengan buthyl"
improvement penarikan dan scrap approved sample obsolate,"Lemari dan lokator app sample penuh , after check approved sample obsolate sebanyak 927 samples di lokator,pengurasan approve sample obsolate belum ada ketentuan","927 app sample obsolate di lokator,belum ada sytem penarikan actual app sample obsolate","Lokator penuh karena masih mixed up dengan approved sample expired,Terdapat 927 pcs approved sample expired yang dikeluarkan dari lokator app sample (expired Juni) butuh waktu 1 shift (1 inspector),Dibutuhkan waktu 5 jam untuk menghapus data approved obsolate dari lokator dan memindah ke data obsolate approved sample,Penarikan app sample tidak bersamaan dengan penghapusan app sample obsolate dari data approved sample, sehingga app sample obsolate masih menumpuk (menunggu scrap),safety issue karena tumpukan app sample obsolate di samping meja clerck"
New Flow for Expired Torso Assy Approve Sample,"Longer time for hold product due to expired approve sample,DSA can't meet goal due to hold product",Hold product more than 5 cases/week,Output could not RTS (approx 6000-7000 pcs) caused by obsolete approve sample
TP - Improve 5S mesin CMYK Tampo,Banyak part pada cover rell nest,Terdapat part yang masuk ke dalam cover rel nest 10 dari 26 mesin,"Banyak part masuk ke dalam cover rel nest berpotensi mesin rusak
Root Cause : Terdapat celah pada cover rel nest, pada saat proses tampo, part jatuh ke dalam sela sela cover rel nest,Terjadi 4X ink cup terbuka dari mesin pada saat mesin berjalan
Root Cause : Holder ink cup longgar,Banyak tetesan cat pada cover kabel pada mesin saat terjadi ink cup leaking dan cat tumpah saat JAM"
Reduce down time Mespro for development machine,Improve OEE level at Diecast Area,Development trial at Diecast counted as downtime machine,Trial development counted as downtime machine
PO - Standarisasi trolly master carton,"Trolley master carton kotor dan berkarat, 
penempatan identitas master tidak standard","134 dari 200 trolley berkarat dan kotor, 115/200 sulit di tarik","Kesulitan saat memindahkan trolley karena roda trolley tersangkut benang sudah ada yang berkarat,Trolley master yang ada di PO sudah banyak kotor dan berkarat karena tidak pernah dilakukan proses pengecatan kembali,Trolley di ikat tali rapiah supaya master kecil tidak jatuh karena desain trolley berbeda2 ,Penempatan identitas master tidak standard karena tidak semua trolley ada tempatnya,kesulitan membedakan trolley printec atau in house saat melakukan 5s karena tidak ada pembeda keduanya"
FAR - Quality & productivity toy HBV20,3/120 broken part line,3/120 broken part line,"Broken 3/120 - Tusukan tertimpa sehingga broken,Toy HBV22 rontok - Tusukan kependekan,Feed dog mc 254 patah - Material krg bagus,Cell C10 belum ada identitas - Terlewat saat re lay out Far ( depan lift) ,Potensi salah ph - Ph tiy setting an  ke 2 diletakkan di rak ph toy ke1"
CR - Improve Quality dan productivity Curling Area ,Berpotensi benang tanggelan,Quality ,"Opetator kesulitan saat mengambil polibag di mc 43 & 44 - Stand polibag di mc tsb cuma ada 1,Tatakan lobang sensor benang 1di mc no 1 tidak ada  sebelah - Tatakan lobang sensor hilang 1,Mc no 44 shaker tidak berfungsi - Timernya kendor,Mc 50 tombol heater posisi panahnya tidak pas - Tombol swit heater dol,Suhu naik di mc 24 - Pengunci chamber terlalu lebar"
SP - PP kaizen HRH56 Cruela Painted Head,Memastikan saat PS berjalan lancar,"Contamination 500.000ppm,Gap eye liner dengan upper liner 1.000.000ppm","Lower liner gap 1000.000ppm tidak nyambung dengan upper liner 
Root cause:
Counter mask kurang buka ,Contamination pada bagian ujung jambang depan sebelah kanan dan pipi sebelah kanan 500.000ppm
Root cause:
Mask crown dan mask lower liner bolong "
FA - Perbaikan Quality Toy HNF84 Dan HLW04,Issue defect berturut turut,"Reject wrong shoes RR,dan wrong dash code","Ditemukan wrong dash code saat pengecekan quality 3333 PPM ,karena saat pergantian dash code dari toy A ke toy B pengurasan tidak dilakukan ,toy A masih di shutter belum masuk master,Toy B sudah dijalankan di shutter,Ditemukan defect wrong shoes di area TTI,dan finding LBO wrong shoes oleh quality,karena pemasangan shoes RL dilakukan oleh operator yang sama 20000 PPM,Ditemukan improper tendril toy HLW04 4/40 ,karena kepala yang di pegboard masih di dalam oven,sudah di tarik,dan langsung di buka tulenya ,"
DC - PP Toy HLX61 HRM09 dan Improve Workspace,pp kaizen untuk memastikan ps berjalan lancar,reject/defec mising part,"Di toy Hlx61-4016 4017 4018 dengan width 143.5 cm (width aqtual) cetak samping kurang 1 mold width d wo142.24 cm-potensi quantity kurang,Di toy HLX61-40191 40192 dengan witdh 142.24 (width aqtual) aqtual cetak samping kurang 1 mold-potensi quantity kurang,Di toy HRM09-4363 tidak ada keterangan ( warning) klu nutch potong harus jatuh d garis merah pd saat potong laser.-potensi salah potong pd saat laser potong nutch tidak jatuh d gatis merah,Di toy HRM09-4361 nutch collar  d temukan unbalance-potensi rijeck potong,Tempat menaruh sop dan autonomos di area decal tidak proper-sop dan autonomos terlihat tidak rapi"
FA - Ramp Up schedule Toy HRC21,Ramp Up Schedule dari 900 ke 1000,CT tidak balance di beberapa proses,"Proses insert,rubberband insert 1x,assy donat to polybag,donat to insert,isolatif 4x,pemakaian 2 operator CTnya 58 detik(masing masing 29 detik),Proses merapikan rambut, tag head,join head pemakaian 2 operator CT Masing masing 28 detik
Proses gromming pemakaian 2 operator CT masing masing 33 detik,Proses TTI,buka polybag,kunci bawah,CTnya 28 detik(TT TTI=75% DARI TT=20 detik.
Proses Creassing IC,doll to IC,CTnya 22 detik"
Improvement system Busaapp (Bus Audit Application)/ Bus Audit,Auditor kesulitan untuk merubah kesalahan input dan kesulitan ketika melakukan barcode sehingga mempengaruhi akurasi data audit,Akurasi data baru mencapai 85%,"Auditor tidak bisa submit hasil audit karena server sering mati dan aplikasi tidak bisa digunakan ,Ketika ada kesalahan data yang diinput data tidak bisa diupdate,Jika ada Bus pengganti data audit tidak bisa di masukkan karena data bus cadangan tidak ada di database ,Belum ada tampilan dashboard pada system BUSAAP ,Belum ada foto finding pada system BUSAAP sehingga finding tidak terfollow up dengan baik ,Belum ada database untuk kelengkapan surat surat Driver (SIM,STNK,KIR,Surat izin penjemputan)"
RC - Improvemenet quality & productivity,Over reject torn and buble,"Reject torn/sobek RH HND27 166 ppm,Reject rough surface RH HHK55  208.000 ppm ,Reject buble RH HLX67 291.666 ppm","Banyak Reject rought surface ear Rh HHK55, karena mold bagian dalam kasar,Reject buble ear RH HLX67 karena bagian ujung telinga lancip ,Reject torn/sobek akibat  ditarik dengan sekuatnya karena operator kesulitan saat ektract"
FA - PP Kaizen Toy HRF28,PP Kaizen untk memastikan PS dapat berjalan lancar,"Unbalance proses, Excess motion","CT Tinggi di 9901 , 9902,dan 9903- proses 9901 : Date code torso, attach short, attach waist strap, Attach shirt, Attach funypack. Ct 63s
Proses 9902 proses: Attachknee pad to RL Knee, Attach jacket, Attach Arm Band to RL hand. Ct 59s 
Proses 9903 proses: Join head, Tiedown neck to body blister using eva strap, Tiedown waist to body blister using Eva strap& c-tape 1x. Ct 60s sedangkan tack time 48s,Hours problem dan  CT Tinggi di 9905- proses: Tiedown RL knee to body blister using eva strap, Tiedown RL leg to body bister using eva strap. CT 126s TT 48s, Unbalance di 9907 dan 9908-proses 9907 : Attach 2 skateshoes to blister acc, Locking blister acc to insert & C-tape 2x. Ct 36s
Proses  9908 proses: Locking halfmoon bottom insert 2x, TTI. 9991 proses: Date code Ic, Pack & Slot insert to IC, locking bottom & upper IC. CT 54s,: Potensi wrong denisson pin & microtack -karena 2 operator melakukan proses yang sama.,Kesusahan saat locking knee pad,- karena knee pad sdh dipasang sebelum di locking."
PO - Newline Toy HJY29,Newline,"Standar hourse: 38.063
Sch : 2500
jam kerja : 8
Operator : 10","Di temukan come acc tooth brush di area packing 5/320 ( 15.625 ppm )-Inner blister dr vendor MLM kendor,CT tidak balance di proses date code ic & jhook dan proses pasang costume & pasang diaper-> Proses date code ic & jhook
CT : 10 detik
> Proses pasang costume & pasang diaper 
CT : 12 detik,CT tidak balnce di proses ambil inner , pasang torso baby, plush bear , lion toy to inner  dan proses pasang acc koala toy , milk bottle to inner-> Proses ambil inner , pasang torso baby, pasang acc plush bear, pasang acc lion toy to inner CT : 13 detik
> Proses pasang acc koala toy, milk bottle to inner CT : 9 detik,CT tidak balance di proses pasang acc cup holder, tooth paste, tooth brush, tray dan proses nembak mictrotec cut towel 2 titik-> Proses pasang acc cup holder, tooth paste, tooth brush ,tray to inner 
CT : 13 detik
> Proses nembak microtex cup towel 2 titik 
CT : 7 detik,CT tidak balance di proses spot welding tab in dan proses packing 11 part & date code chair-> Proses spot welding tab in blister 
CT : 9 detik
> Proses packing 11 part & date code acc chair 
CT : 11 detik

"
PO - New line CFF37,Newline,CT tinggi dibeberapa proses,"Ct tdk balance diproses Tack head dan mictotag.-1. -Tag head 2x
    - Tie down hair
   - Pullback R/B on the back insert dan lock CT : 18""
2 - microtag R dan L Veil Ct 14"",Ct tdk balance diproses costum dan Attach necklace-1. - dress skirt to torso 
    - Attach ring to torso tinger CT 14""
2. - attach R/L shoes
    - R/L 1/2 R/L to R dan L shoes
    - Attach Necklace
    - Tied Flower Bucket to Left hand    CT : 18,CT tdk balance diproses press dan Doll to master
-1. - Apply glue to back side insert 
    - Seal blister proses
    - CT 19""
2. date code , dash code dab fold mc Attach ic to master diseak CT 12"""
DC - Standarisasi quality di area DC-ESP-Tampo untuk proses PP,"Part sudah mulai bangking untuk PS, sedangkan PP belum OK",Perbedaan standar quality untuk toy PP & PS,"Schedule PP di area DC  Running Di shift1  sehingga tidak ada yang follow up yang mengakibatkan banyak reject
"
TP - PP Kaizen toy HJN31 Sculpture Post,Memastikan saat PS berjalan lancar,Kapasitas packing melebihi standard EHS 15Kg vs Actual 20Kg,"Operator kesulitan saat mengangkat part dalam box
Root cause:
Kapasitas box berisi 200pcs dari suplier dengan berat melebihi 15Kg standard EHS,Reject peel off 1,000,000PPM diawal running
Root cause:
Penggunaan rubber dengan model amazone menghasilkan print susah transfer"
PO - Kaizen New Line Toy HJV92,New line,"Sch 1350, std hours 122,263, 8 jam, 22 operator, eff 95%","Reject improper grooming 4/6 = 666,666 Ppm-Saat pengambilan hair sebelum diikat kebawa kebelakang sehingga pheryperi depan kelihatan,Reject inproper hair 6/6 = 1000000 Ppm-Saat proses Elastic straples posisi rambut di luar elastic yang benar di belakang torso,CT tidak balance di proses dressing, attach shoes, join head, merapikan hair ct 29s tt 18s dan proses groming menggunakan 3 operator masing masing ct 9s.--"
VUM - REDUCE FINDING LBO QUALITY PATROL AREA VUM,Meningkatnya defect finding LBO under dan over lacquer vum,"Quality
 WE 07/15 mencapai 1879ppm,
WE 07/22 mencapai 2401ppm
W07/29 mencapai 2355ppm
(naik dalam 3minggu terakhir)","Pada saat melakukan proses racking  banyak part yang menempel sehingga menyebabkan reject under lacquer 

,Pada saat lacquer mespray angin terlalu dekat mengakibatkan part di spindle bergeser sehingga menempel satu part dengan yang lain nya
,Belum ada flow pengecekan part untuk operator lacquer pada saat menurukan spindle dari drying sehingga operator tidak mengetahui apakah part yang dihasilkan OK / defect
,Belum ada flow ketika menemukan defect sehingga belum ada kejelasan apakah part langsung di scrap / masih bisa digunakan karena masih OK ( apabila dilakukan proses matting )
,Pada saat chamber tidak merapikan part saat memasukan part ke chamber (banyak yang menempel mengakibatkan under)
"
Earring Design Standardization,- Fail test earring during function and after abuse with current standard dimension - Minimize type of end mills for drill hole variants for the rotohead - Change drilling process from manual to auto,"- 100% pass function, abuse test, as well as flawless manufacturing process during FEP-PS","Fail test earring during function and/or abuse
,High variants of roto end-mill 
,No standard guideline/matrix for earring design based on the earring type and its post-processes (i.e. : VUM)
,Unclear earring assembly trial during development
,Unstandardized existing earring tools
"
OMC - IMPROVEMENT FINDING LBO IMPROPER ASSY TOY JJ006,Operator kesulitan saat assy car jj006 karena ada penekanan di interior bagian depan dan menimbulkan improper assy jika bagian belakang tidak proper saat pemasangan chassis bagian belakang,LBO 3472 PPM,"Saat proses assy menekan interior bagian depan berpotensi ibu jari luka ,minus sch karena belum mengetahui metode yang lebih mudah dan quality yang bagus,Improper assy bagian belakang karena pada saat assy tidak proper tetapi sudah lanjut proses spinning "
INSTALLATION HOSE AND CABLE HANGER ON INJECTION MOLDING MACHINES,"ALL HOSE TOUCHING GROUND ,DIRT AND MATERIAL CANNOT BE CLEANED DUE TO STUCK ON CABLE AND HOSE",ALL MACHINES IN NEW BUILDING,"5S cannot be done properly,hose and cable lifetime if touching floor could be damaged by trolley or foot"
FA - RAMP UP SCDL DI TOY HRP64,Ramp up,"Scdl 700
Eff  : 100%","CT tinggi di proses grooming -6 operator melakukan pekerjaan sama yaitu belah partline + tie hair+ position mask + aply hair setting CT 240s.,CT tidak balance diproses attach top dan attach necklace. -- proses lepas arm L + attach top + attach holder arm + attach arm RL CT 40s.
- proses attach necklace CT 25s.,CT tidak balance diproses elastic stapler dan attach acc to blister. -- proses attach shoes L+ elastic stapler hair + join head + elastic stapler waist CT 30s.
- proses attach acc to blister + tie bag to blister CT 37s."
FA - KAIZEN NEW LINE DI TOY HHG52,New line,"Scdl : 1300
Hrs : 102.979
JK : 8
Oprt : 16
Eff : 100%","CT tidak balance diproses datecode insert 
+ tach head.-- proses date code insert + attach r/b 4 pcs CT 22s.
- proses tach head + regroom CT 18s.,CT tidak balance diproses join head dan elastic stapler. -- proses tie hair lower + join head + attach hair brus to insert CT 18s.
- proses elastic stapler body + elastic stapler tail+ attach tail to holder CT 24s.,CT tidak balance diproses elastic stapler arm dan attach tie blue to insert.-- proses elastic stapler arm + slot tail Pink yo insert CT 22s.
- proses slot tail blue to insert CT 18s."
FA - improvement Quality missing R Pet Window Toy HLX64,Issue missing R Pet Windows,Reject missing R Pet Windows 15625PPM,"Ditemukan missing R Pet Windows 15625PPM karena saat support IC,SERTIFIKAT,R PET WINDOWS dari proses date code IC tidak bersamaan,,Tidak balance di proses creassing insert 16x,rubberband insert 1x,doll base to insert CT nya 53 detik,dengan proses regroom hair dan isolatif waistrap doll base CT nya 30 detik"
FA - Issue safety material lay out yang tidak terpakai di taruh di dalam yellow line dan improve produktivity Toy HMT92,"Material lay out masuk ke dalam yellow line,dan letaknya berantakan","Material lay out yang tidak terpakai masuk ke dalam yellow line,CT tidak balance di beberapa proses","Material lay out berada dalam 1 box,tidak beraturan letaknya,dan berapda di yellow line,potensi operator tersandung,Tidak balance di proses isolatif insert atas 2x,creassing insert 3 sisi,blister body to insert 4 sisi CT nya 33 detik,dengan proses pasang doll stick,waistrap kaki 2 sisi pemakaian 2 operator CT nya 50 detik"
Improve Quality Toy GJW58 Part 11022-96472 line B13,"TOY COPY
","Eff :50 %
","Improper Velcro 400.000ppm
Setingan mesin DN saat digunakan untuk menjahit potensi geser,UZ panjang ol elastis neckline 400.000ppm
Panjang after ol elastis neckline spec 3 1/4” actual 3”,Improper OL armhole 200.000ppm
Sew bust tidak sesuai dengan SOP,Wrong dimetion join sideseam 200.000ppm
Seam kebesaran saat join sideseam spec 3/16” actual ¼”( karena totokan aus)"
TP - Improve quality toy HLX70 Booth,Finding quality  (ARB) misposition tampo diarea Final Assembly,"Reject misposition saat audit ARB ,Misposition 500.000PPM saat running ","Finding ARB dicostumer 5/10 misposition deco booth
Root Cause:
Posisi deco kurang center ,Misposition deco 500.000PPM di WE 2/9
Root Cause:
6/7 jig tidak proper,Kesulitan saat fitting part pada nest 500.000PPM
Root Cause:
1/2 jig berbeda contournya ,Output tidak tercapai sesuai dengan schedule planner
Root Cause:
Schedule planner tidak sesuai dengan flow chart 600 vs 400,Kesulitan saat unload part dari jig (seret)
Root Cause:
Method saat melepas part dari jig diposisi tengah part"
